Hex Data,Length,Entropy,Label
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
0c570c96013cfb3e485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35303a343520474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.592573637,13
0c580c96013cfb3d485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35303a343520474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.577526525,13
0c570c96013cfb3e485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35303a343520474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.592573637,13
0c580c96013cfb3d485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35303a343520474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.577526525,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
0c590c96013cfa3d485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35333a323420474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.584587287,13
0c580c96013cfa3e485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35333a323420474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.582198403,13
0c590c96013cfa3d485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35333a323420474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.584587287,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
0c590c96013cf73c485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35353a333520474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.586911975,13
0c590c96013cf73c485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35353a333520474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.586911975,13
0c590c96013cf73c485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35353a333520474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.586911975,13
0c590c96013cf73c485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35353a333520474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.586911975,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
0c590c96013cf639485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35383a313820474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.57978731,13
0c590c96013cf639485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35383a313820474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.57978731,13
0c590c96013cf639485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35383a313820474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.57978731,13
0c590c96013cf639485454502f312e3120323030204f4b0d0a43414348452d434f4e54524f4c3a206d61782d6167653d38363430300d0a444154453a204672692c2032332053657020323031362030333a35383a313820474d540d0a4558543a0d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e3232333a34393135332f73657475702e786d6c0d0a5345525645523a204c696e75782f322e362e32312c2055506e502f312e302c20506f727461626c652053444b20666f722055506e5020646576696365732f312e362e360d0a582d557365722d4167656e743a20726564736f6e69630d0a53543a2075706e703a726f6f746465766963650d0a55534e3a20757569643a536f636b65742d315f302d3232313331304b313130303843353a3a75706e703a726f6f746465766963650d0a0d0a,316,5.57978731,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
ee1ec0a500a7e32b030053000001001b001c00000000008f6174763a62696e3a303a2f703255696b49356455306d5766563064672b3972375634634c46386f52552f6333712f5744755a47754d7248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a6b6148734a453562716a6d696a4f4e71327945316d6d4c7972655067726352486e496539627476536c70553d,167,5.883880075,13
917c829a009dc08401005300008f6174763a62696e3a303a756953326162525734436b6c2b6f57366d7a6d767556416c61385379306f724f336d666a783469593850777248723761334143684563555250732f334843754e7369663574586d63594a39374741464359526d4d59413d3d3a7a44656c767a4c537a7a787179345359353234754367305367434e6d30486d6b4d3831627a5649524133413d,157,5.813191211,13
